symbol,side,entry_price,avg_exit_price,size_usdt,pnl_usdt,pnl_pct,fee_total,funding_paid,entry_ts,exit_ts,duration_min,score,exit_reason,correlation_id,source,confs,regime,macro_risk
BTC/USDT,LONG,76836.62433,76613.414354,193.2333,-0.6386,-0.33,0.1546,0.0,2026-04-28T06:40:47.081925+00:00,2026-04-28T06:43:02.015125+00:00,2.2,6,sl,514f28d7b3e0,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'TRIX 5m', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76681.9816,76644.727384,193.0946,-0.1711,-0.09,0.1545,0.0,2026-04-28T06:45:50.376044+00:00,2026-04-28T07:01:52.229844+00:00,16.0,6,sl,08e6328e6263,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
PAXG/USDT,SHORT,4631.799252,4628.065708,193.3386,0.0785,0.04,0.1547,0.0,2026-04-28T06:09:56.307411+00:00,2026-04-28T07:05:01.042620+00:00,55.1,6,sl,593ef5c133f8,internal,"['EMA200-H4 baissier', 'BOS H2/H1', 'H2+H1 alignés', 'TRIX 5m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76682.772074,76752.978232,193.0351,0.0995,0.05,0.1544,0.0,2026-04-28T07:30:16.619271+00:00,2026-04-28T07:40:22.513295+00:00,10.1,6,tp_cascade,a12cd64cfda8,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76896.029952,76869.590129,193.0488,-0.1436,-0.07,0.1544,0.0,2026-04-28T07:40:22.652327+00:00,2026-04-28T08:33:02.591674+00:00,52.7,6,sl,6bce27f93a34,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Delta volume confirme', 'Liquidity sweep', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76947.1406,76710.126292,192.9934,-0.6717,-0.35,0.1544,0.0,2026-04-28T08:34:51.343264+00:00,2026-04-28T08:50:05.106177+00:00,15.2,6,sl,93c5b048856a,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Delta volume confirme', 'Liquidity sweep', 'ADX régime RANGE']",RANGE,0.0
PAXG/USDT,SHORT,4629.010926,4619.043264,193.0137,0.3384,0.18,0.1544,0.0,2026-04-28T07:05:28.268170+00:00,2026-04-28T09:23:16.989742+00:00,137.8,5,tp_cascade,ffbc818bdc4c,internal,"['EMA200-H4 baissier', 'BOS H2/H1', 'H2+H1 alignés', 'TRIX 5m', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76846.950522,76622.508894,192.8558,-0.6404,-0.33,0.1543,0.0,2026-04-28T08:55:03.012205+00:00,2026-04-28T09:33:21.902601+00:00,38.3,8,sl,5043d197b3dd,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'TRIX 5m', 'Delta volume confirme', 'Liquidity sweep', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76691.577354,76465.583106,192.7121,-0.645,-0.33,0.1542,0.0,2026-04-28T09:35:42.765901+00:00,2026-04-28T09:51:18.095837+00:00,15.6,6,sl,b42bbe3a1608,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76615.931994,76582.84809,192.5764,-0.1602,-0.08,0.1541,0.0,2026-04-28T09:53:38.236430+00:00,2026-04-28T10:05:17.865761+00:00,11.7,6,sl,1ce95d63f188,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76578.339452,76536.265569,192.4921,-0.1827,-0.09,0.154,0.0,2026-04-28T10:20:42.911608+00:00,2026-04-28T10:57:05.399100+00:00,36.4,6,sl,a7aab6a64529,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76469.384118,76248.583384,192.5413,-0.633,-0.33,0.154,0.0,2026-04-28T11:19:04.706416+00:00,2026-04-28T11:28:07.277825+00:00,9.0,6,sl,aaa8103828a6,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
PAXG/USDT,SHORT,4606.53442,4596.615148,192.7968,0.338,0.18,0.1542,0.0,2026-04-28T09:32:49.429731+00:00,2026-04-28T11:33:17.877483+00:00,120.5,5,tp_cascade,e27e6e5c8c42,internal,"['EMA200-H4 baissier', 'BOS H2/H1', 'H2+H1 alignés', 'TRIX 5m', 'Delta volume confirme']",VOLATILE,0.0
PAXG/USDT,SHORT,4577.631772,4567.774755,192.3994,0.3373,0.18,0.1539,0.0,2026-04-28T11:36:11.034716+00:00,2026-04-28T11:48:37.688471+00:00,12.4,5,tp_cascade,973f559350c9,internal,"['EMA200-H4 baissier', 'BOS H2/H1', 'H2+H1 alignés', 'TRIX 5m', 'Delta volume confirme']",VOLATILE,0.0
PAXG/USDT,SHORT,4553.146472,4572.071598,192.3851,-0.8766,-0.46,0.1539,0.0,2026-04-28T11:52:25.694977+00:00,2026-04-28T12:08:28.772870+00:00,16.1,5,sl,fb68ac28e729,internal,"['EMA200-H4 baissier', 'BOS H2/H1', 'H2+H1 alignés', 'TRIX 5m', 'Delta volume confirme']",VOLATILE,0.0
PAXG/USDT,SHORT,4571.345546,4590.342554,192.2537,-0.8758,-0.46,0.1538,0.0,2026-04-28T12:12:21.368605+00:00,2026-04-28T12:20:39.831056+00:00,8.3,6,sl,12a3f2aecd1c,internal,"['EMA200-H4 baissier', 'BOS H2/H1', 'H2+H1 alignés', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m']",VOLATILE,0.0
BTC/USDT,LONG,76265.18167,76235.814122,192.4518,-0.1511,-0.08,0.154,0.0,2026-04-28T11:39:57.961649+00:00,2026-04-28T12:21:07.354157+00:00,41.2,6,sl,dee831022441,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
