2026-05-02 07:17:09,760 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 53)
2026-05-02 07:17:09,775 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 54)
2026-05-02 07:17:09,790 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 55)
2026-05-02 07:17:09,809 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 56)
2026-05-02 07:17:09,823 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 57)
2026-05-02 07:17:09,847 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 48)
2026-05-02 07:17:09,865 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 49)
2026-05-02 07:17:09,888 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 58)
2026-05-02 07:17:09,903 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 50)
2026-05-02 07:17:09,923 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 51)
2026-05-02 07:17:09,939 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 52)
2026-05-02 07:17:10,609 | INFO     | data.gold_provider | [GOLD/TD] XAU/USD/1h → 500 bougies
2026-05-02 07:17:10,615 | INFO     | assistant.voice_engine | [VOICE] Whisper prêt
2026-05-02 07:17:10,619 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 53)
2026-05-02 07:17:10,645 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 59)
2026-05-02 07:17:10,668 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 60)
2026-05-02 07:17:10,693 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 61)
2026-05-02 07:17:10,706 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 54)
2026-05-02 07:17:10,733 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 55)
2026-05-02 07:17:10,756 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 56)
2026-05-02 07:17:10,781 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 57)
2026-05-02 07:17:10,793 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 58)
2026-05-02 07:17:10,806 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 59)
2026-05-02 07:17:10,826 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 60)
2026-05-02 07:17:10,839 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 61)
2026-05-02 07:17:10,862 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 62)
2026-05-02 07:17:10,877 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 63)
2026-05-02 07:17:10,894 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 64)
2026-05-02 07:17:10,909 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 62)
2026-05-02 07:17:10,923 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 63)
